pedido_id,cliente_id,fecha_pedido,fecha_entrega,estado,total
41,65,2023-08-25,2023-09-01,enviado,1451.35
42,50,2023-08-10,2023-08-19,entregado,988.08
43,76,2023-08-21,2023-08-31,entregado,902.35
44,33,2023-10-08,2023-10-10,pendiente,3061.05
45,147,2023-10-19,2023-11-03,entregado,3470.1
46,123,2023-04-27,2023-05-10,,1805.32
47,39,2024-07-30,2024-08-02,cancelado,309.62
48,196,2024-03-02,2024-03-28,entregado,4149.96
49,77,2024-08-25,2024-09-04,cancelado,2430.93
50,161,2023-08-05,2023-08-08,enviado,52.82
51,142,2023-03-18,2023-04-01,enviado,2140.15
52,60,2023-10-23,2023-11-15,entregado,1361.68
53,170,2023-07-22,2023-08-09,entregado,4246.46
54,37,2023-03-15,2023-04-10,pendiente,844.96
55,113,2023-05-08,2023-05-18,entregado,12639.02
56,21,2024-09-04,2024-09-18,pendiente,539.66
57,173,2024-08-12,2024-08-13,entregado,1430.62
58,167,2024-03-28,2024-04-03,cancelado,2723.89
59,105,2023-12-08,2023-12-12,entregado,1282.52
60,178,2024-05-22,2024-06-04,enviado,1180.6
61,83,2023-04-29,2023-05-12,cancelado,1485.03
62,49,2024-06-14,2024-07-09,entregado,1026.4
63,141,2023-05-15,2023-05-30,cancelado,2193.62
64,80,2024-07-18,2024-08-01,pendiente,202.46
65,30,2024-04-17,2024-05-08,cancelado,319.33
66,131,2023-10-07,2023-10-23,entregado,2918.33
67,99,2023-07-15,2023-08-01,cancelado,3736.91
68,69,2023-01-03,2023-01-13,enviado,3455.88
69,124,2023-12-20,2024-01-14,entregado,1895.77
70,147,2024-01-28,2024-02-22,enviado,554.16
71,99,2024-11-10,2024-12-01,entregado,276.58
72,33,2024-05-29,2024-06-09,cancelado,278.84
73,26,2024-06-22,2024-06-23,cancelado,4432.19
74,87,2024-09-30,2024-10-21,entregado,632.94
75,173,2024-06-30,2024-07-11,entregado,8546.69
76,162,2024-12-01,2024-12-09,cancelado,493.67
77,178,2023-11-03,2023-11-05,cancelado,636.01
78,96,2024-03-17,2024-04-03,enviado,1106.19
79,21,2024-09-16,2024-10-06,entregado,1945.56
80,164,2023-09-18,2023-10-10,entregado,220.08
81,74,2024-11-24,2024-11-27,entregado,698.41
82,177,2023-09-14,2023-09-24,entregado,1216.08
83,28,2023-08-31,2023-09-12,entregado,1968.27
84,3,2024-08-02,2024-08-27,entregado,3315.25
85,91,2023-08-13,2023-09-02,entregado,450.43
86,80,2024-03-27,2024-04-08,pendiente,1215.81
87,52,2023-05-16,2023-06-14,entregado,3340.28
88,43,2023-09-21,2023-10-07,cancelado,1388.44
89,20,2023-05-25,2023-06-02,entregado,2330.78
90,68,2024-07-03,2024-07-15,enviado,1385.51
91,121,2023-01-26,2023-02-13,entregado,1871.51
92,163,2024-04-20,2024-04-30,cancelado,2505.37
93,127,2023-04-29,2023-05-28,pendiente,2277.58
94,108,2024-08-24,2024-08-29,entregado,2015.21
95,72,2023-02-03,2023-02-10,entregado,839.09
96,176,2024-01-12,2024-02-02,entregado,1580.42
97,49,2023-05-06,2023-06-02,cancelado,8353.78
98,13,2023-12-08,2023-12-13,enviado,8983.65
99,56,2023-08-27,2023-09-01,entregado,1102.62
100,65,2023-06-28,2023-07-26,enviado,2573.44
101,4,2024-01-02,2024-01-10,entregado,1253.74
102,33,2024-03-07,2024-03-31,entregado,96.92
103,115,2024-01-06,2024-01-02,entregado,1438.14
104,187,2024-11-05,2024-11-20,entregado,920.44
105,126,2024-03-30,2024-04-02,pendiente,308.99
106,33,2023-10-09,2023-10-28,entregado,1123.37
107,117,2024-06-01,2024-06-05,entregado,4918.61
108,106,2023-12-14,2023-12-27,entregado,1688.72
109,171,2023-09-19,2023-09-24,entregado,1329.19
110,25,2024-01-17,2024-02-04,entregado,902.35
111,144,2024-07-29,2024-08-02,entregado,391.24
112,154,2023-11-16,2023-12-05,entregado,516.3
113,90,2024-07-23,2024-08-17,entregado,6581.06
114,144,2024-09-28,2024-10-19,entregado,1505.66
115,70,2023-11-13,2023-11-25,cancelado,710.82
116,37,2024-08-02,2024-08-05,entregado,113.68
117,192,2024-06-27,2024-07-11,enviado,9449.99
118,185,2023-11-29,2023-12-18,entregado,1008.82
119,13,2024-11-21,2024-12-06,pendiente,3330.53
120,56,2024-06-08,2024-06-22,enviado,303.69
121,174,2024-11-25,2024-12-12,entregado,2262.72
122,2,2023-07-29,2023-08-05,entregado,1830.75
123,84,2023-05-03,2023-05-27,pendiente,581.06
124,181,2023-08-24,2023-09-20,entregado,1925.62
125,118,2023-03-21,2023-04-09,entregado,2944.05
126,30,2024-02-19,2024-03-01,pendiente,1414.58
127,177,2024-01-06,2024-02-03,pendiente,127.48
128,112,2024-08-26,2024-08-29,entregado,3694.15
129,200,2023-06-22,2023-07-13,pendiente,353.75
130,131,2023-07-18,2023-07-30,cancelado,349.1
131,38,2023-09-20,2023-10-10,enviado,431.69
132,198,2024-10-05,2024-10-30,entregado,1808.07
133,161,2023-11-20,2023-11-23,enviado,751.09
134,15,2023-12-27,2024-01-06,entregado,5147.45
135,74,2023-03-20,2023-04-17,entregado,144.35
136,153,2024-06-03,2024-06-22,entregado,2387.79
137,155,2024-05-02,2024-05-04,entregado,7526.17
138,166,2023-06-26,2023-07-19,pendiente,3132.83
139,41,2024-01-08,2024-01-18,entregado,1439.08
140,162,2024-10-24,2024-11-04,entregado,1310.45
141,174,2024-01-31,2024-02-24,enviado,1560.64
142,90,2023-11-14,2023-12-07,cancelado,1812.51
143,97,2024-10-20,2024-11-16,entregado,296.44
144,166,2024-11-17,2024-11-29,entregado,209.13
145,80,2023-07-04,2023-07-15,cancelado,1218.0
146,20,2023-10-30,2023-11-03,entregado,1802.12
147,34,2024-09-03,2024-09-09,entregado,301.96
148,185,2024-03-24,2024-04-05,pendiente,1705.16
149,137,2023-09-02,2023-09-28,entregado,1901.45
150,119,2023-10-16,2023-11-02,entregado,7258.7
151,65,2023-02-23,2023-03-23,entregado,622.68
152,32,2023-10-19,2023-10-25,pendiente,2674.57
153,112,2023-04-04,2023-04-12,cancelado,453.14
154,102,2024-05-29,2024-06-11,entregado,3860.16
155,58,2023-01-29,2023-02-02,entregado,4800.53
156,179,2023-05-23,2023-06-08,entregado,987.75
157,66,2023-08-09,2023-08-27,entregado,3346.2
158,78,2023-05-05,2023-05-19,pendiente,7840.41
159,138,2023-01-17,2023-02-05,entregado,197.04
160,110,2023-01-02,2023-01-10,entregado,480.2
161,18,2024-06-22,2024-07-18,entregado,1883.66
162,163,2024-02-01,2024-02-10,cancelado,4871.02
163,198,2024-08-18,2024-08-29,entregado,464.77
164,140,2023-12-13,2023-12-19,entregado,3146.3
165,10,2023-10-28,2023-11-23,enviado,88.31
166,80,2024-06-11,2024-07-08,entregado,4747.29
167,92,2023-02-18,2023-03-01,entregado,306.04
168,103,2024-03-26,2024-04-08,entregado,967.84
169,95,2024-06-15,2024-06-18,enviado,4104.47
170,76,2023-11-25,2023-12-06,enviado,7163.65
171,177,2024-03-30,2024-04-01,entregado,7034.88
172,172,2024-10-14,2026-06-12,entregado,4867.46
173,33,2023-03-10,2023-03-31,enviado,4435.13
174,9,2024-09-11,2024-09-26,enviado,1477.43
175,147,2023-05-21,2023-06-03,entregado,359.57
176,7,2023-07-10,2023-07-23,entregado,1188.85
177,157,2023-10-20,2023-11-05,entregado,736.41
178,19,2024-04-07,2024-04-30,enviado,4502.49
179,141,2024-07-09,2024-07-19,enviado,169.32
180,131,2023-08-18,2023-08-25,enviado,1462.28
181,7,2024-01-05,2024-01-17,entregado,401.78
182,17,2023-11-13,2023-12-06,entregado,2190.72
183,33,2023-11-21,2023-12-06,entregado,1896.35
184,164,2024-08-24,2024-08-29,enviado,5917.72
185,40,2023-11-08,2023-11-19,enviado,876.95
186,51,2024-10-12,2024-10-21,cancelado,1079.57
187,137,2023-04-06,2023-04-12,entregado,2616.59
188,87,2024-07-31,2024-08-28,pendiente,180.47
189,12,2024-10-18,2024-10-27,entregado,3634.23
190,161,2024-07-12,2024-07-22,enviado,1384.06
191,19,2023-03-03,2023-03-17,enviado,581.64
192,37,2023-11-17,2023-11-28,entregado,1443.15
193,28,2023-11-23,2023-11-27,enviado,1325.04
194,25,2023-02-21,2023-03-06,enviado,1993.38
195,185,2023-11-17,2023-11-23,enviado,2666.89
196,128,2023-01-24,2023-02-06,pendiente,2475.94
197,13,2023-02-21,2023-03-13,enviado,7944.14
198,35,2023-09-28,2023-10-23,entregado,1432.34
199,146,2024-07-29,2024-08-16,enviado,1464.99
200,116,2024-07-17,2024-08-06,enviado,984.48
201,87,2024-07-25,2024-08-19,cancelado,1740.09
202,131,2024-02-16,2024-02-18,entregado,141.36
203,183,2023-12-08,2023-12-25,entregado,3339.78
204,84,2024-09-19,2024-10-02,entregado,2902.18
205,137,2024-05-16,2024-05-26,entregado,4790.73
206,107,2024-08-20,2024-09-18,entregado,8982.0
207,59,2023-02-22,2023-02-28,entregado,2231.81
208,147,2023-04-23,2023-05-08,enviado,4758.44
209,177,2023-07-28,2023-08-22,entregado,3430.45
210,144,2023-11-29,2023-12-15,cancelado,5627.73
211,88,2024-07-13,2024-08-07,entregado,3499.77
212,143,2023-11-02,2023-11-12,enviado,1427.81
213,123,2023-12-24,2024-01-23,entregado,8357.85
214,102,2023-12-20,2024-01-15,cancelado,1153.78
215,74,2023-03-22,2023-04-06,entregado,4392.53
216,144,2023-10-06,2023-09-23,enviado,1687.36
217,164,2023-08-27,2023-09-10,pendiente,1149.75
218,2,2024-07-17,2024-07-23,cancelado,1487.07
219,83,2023-10-20,2023-11-19,entregado,1463.35
220,60,2024-07-01,2024-07-29,entregado,115.72
221,107,2023-06-30,2023-07-02,cancelado,1337.16
222,3,2023-11-02,2023-11-06,entregado,2361.8
223,135,2024-05-20,2024-05-25,entregado,3283.7
224,42,2024-04-14,2024-05-07,entregado,1952.86
225,76,2024-08-04,2024-08-11,entregado,1846.09
226,110,2024-06-11,2024-06-24,entregado,3386.41
227,2,2023-09-25,2023-10-10,entregado,1789.06
228,186,2024-08-09,2024-08-30,pendiente,115.48
229,120,2023-11-11,2023-12-03,enviado,1787.38
230,57,2023-08-13,2023-08-29,cancelado,1223.79
231,96,2024-03-01,2024-03-31,entregado,1551.07
232,21,2024-06-22,2024-07-15,entregado,180.41
233,16,2024-07-14,2024-07-21,cancelado,14345.62
234,114,2023-04-30,2023-05-23,entregado,3346.8
235,117,2023-05-16,2023-05-31,entregado,792.7
236,102,2023-09-18,2023-10-12,entregado,146.18
237,12,2024-03-09,2024-03-12,entregado,510.39
238,105,2023-07-04,2023-07-29,entregado,3127.11
239,21,2024-11-30,2024-12-28,cancelado,3165.76
240,101,2024-06-25,2024-07-03,enviado,24.23
241,77,2024-04-19,2024-05-07,entregado,2568.22
242,118,2023-12-21,2023-12-28,enviado,3363.48
243,53,2023-03-10,2023-03-12,enviado,1642.86
244,103,2024-03-25,2024-04-01,enviado,2573.44
245,129,2023-10-24,2023-11-23,enviado,7912.96
246,78,2023-05-27,2023-06-13,cancelado,323.29
247,71,2023-03-04,2023-03-23,entregado,9009.53
248,165,2024-11-18,2024-12-05,entregado,5868.78
249,77,2024-01-21,2024-02-08,enviado,1554.96
250,119,2023-03-01,2023-03-15,entregado,1702.5
251,53,2023-12-05,2023-11-25,entregado,5114.02
252,14,2023-10-02,2023-10-22,entregado,2249.2
253,56,2024-05-05,2024-06-04,enviado,214.69
254,49,2023-05-01,2023-05-26,entregado,3886.87
255,62,2024-07-19,2024-07-29,entregado,1675.94
256,67,2024-01-04,2024-01-20,entregado,736.12
257,95,2023-11-17,2023-12-06,entregado,111.32
258,67,2024-07-20,2024-08-08,cancelado,2037.69
259,98,2024-08-06,2024-08-22,entregado,1826.12
260,44,2023-12-27,2024-01-20,enviado,10205.13
261,9,2023-03-18,2023-04-09,cancelado,210.98
262,106,2023-05-21,2023-05-29,entregado,585.34
263,3,2023-08-12,2023-08-24,entregado,101.6
264,164,2024-11-13,2024-12-13,cancelado,2085.1
265,142,2024-02-26,2024-03-14,pendiente,1412.18
266,46,2023-04-20,2023-05-07,cancelado,885.12
267,159,2024-06-23,2024-07-05,enviado,194.27
268,104,2024-04-15,2024-05-08,entregado,244.11
269,168,2024-10-27,2024-10-30,entregado,2517.27
270,15,2024-10-14,2024-10-20,pendiente,1170.68
271,112,2024-10-22,2024-11-10,entregado,353.4
272,11,2023-08-24,2023-09-21,enviado,7285.58
273,140,2024-07-31,2024-08-06,entregado,1430.87
274,37,2024-02-12,2024-02-22,cancelado,794.46
275,146,2024-02-03,2024-02-21,entregado,266.04
276,129,2023-12-21,2024-01-04,,979.24
277,155,2024-09-20,2024-10-03,cancelado,380.89
278,126,2023-08-22,2023-09-04,entregado,339.23
279,198,2024-09-25,2024-10-03,enviado,2869.96
280,190,2024-02-03,2024-02-07,entregado,10.39
281,79,2024-03-31,2024-04-09,entregado,461.9
282,23,2023-07-11,2023-07-29,entregado,3165.25
283,91,2024-07-21,2024-08-10,pendiente,525.79
284,106,2024-02-02,2024-02-26,entregado,3782.46
285,44,2023-05-23,2023-06-01,enviado,639.51
286,71,2024-03-07,2024-04-02,enviado,3860.16
287,65,2023-09-10,2023-09-26,entregado,1700.05
288,78,2023-01-07,2023-01-18,cancelado,3679.9
289,167,2024-08-31,2024-09-11,enviado,2057.16
290,82,2023-10-26,2023-11-16,entregado,1432.97
291,72,2024-02-07,2024-03-08,entregado,1287.78
292,7,2024-04-17,2024-04-24,cancelado,645.49
293,36,2024-10-10,2024-10-19,entregado,5849.3
294,123,2024-08-19,2024-09-05,entregado,2834.51
295,164,2023-03-29,2023-04-06,enviado,4202.44
296,193,2023-12-06,2023-12-20,cancelado,444.9
297,26,2023-09-22,2023-10-16,enviado,6820.09
298,96,2024-02-05,2024-02-27,entregado,7836.18
299,27,2023-10-30,2023-11-02,entregado,31.98
300,90,2023-11-16,2023-12-12,entregado,543.67
301,90,2024-05-02,2024-05-26,pendiente,2695.89
302,6,2023-12-18,2024-01-09,entregado,390.18
303,45,2024-07-19,2024-08-06,enviado,2314.98
304,48,2024-10-17,2024-10-30,entregado,315.15
305,51,2024-04-05,2024-04-18,entregado,353.54
306,53,2023-10-13,2023-11-08,entregado,275.1
307,27,2024-07-03,2024-07-14,enviado,990.44
308,68,2024-11-17,2024-12-04,entregado,4653.97
309,30,2023-12-23,2024-01-07,entregado,2178.21
310,173,2023-05-18,2023-05-26,entregado,123.28
311,178,2023-05-25,2023-06-08,entregado,2133.52
312,125,2024-10-12,2024-11-11,entregado,1035.76
313,48,2023-11-19,2023-12-09,entregado,3379.5
314,3,2024-05-11,2024-04-28,enviado,367.99
315,176,2024-05-18,2024-06-14,entregado,2215.65
316,8,2023-08-14,2023-08-23,enviado,1350.13
317,44,2024-04-13,2024-05-08,entregado,1585.37
318,30,2023-10-02,2023-10-29,entregado,404.18
319,140,2023-08-12,2023-08-16,cancelado,2142.13
320,23,2024-03-25,2024-03-29,,323.61
321,177,2023-12-26,2024-01-15,entregado,4810.15
322,16,2024-08-06,2026-03-22,entregado,443.78
323,147,2023-10-01,2023-10-18,cancelado,2355.11
324,180,2023-05-16,2023-06-08,enviado,7581.98
325,37,2024-08-14,2024-09-04,entregado,263.21
326,104,2024-06-11,2024-07-04,entregado,476.85
327,149,2023-01-03,2023-01-31,entregado,2184.76
328,56,2024-03-15,2024-03-31,entregado,408.06
329,141,2024-08-14,2024-09-11,enviado,442.13
330,161,2024-04-15,2024-05-15,pendiente,230.96
331,1,2024-03-14,2024-04-06,enviado,384.83
332,71,2023-04-06,2023-04-15,entregado,815.1
333,171,2024-10-26,2024-11-08,enviado,3660.9
334,55,2024-05-03,2024-05-22,pendiente,597.87
335,3,2023-01-09,2023-02-05,entregado,97.52
336,178,2023-05-16,2023-05-24,entregado,590.76
337,95,2023-11-03,2023-11-28,enviado,206.6
338,136,2024-07-30,2024-08-20,pendiente,996.97
339,185,2023-08-07,2023-08-12,entregado,2161.71
340,26,2023-05-24,2023-06-12,entregado,1145.43
341,71,2024-10-22,2024-11-09,pendiente,332.96
342,53,2024-06-14,2024-06-21,entregado,4023.41
343,29,2023-09-04,2023-09-24,entregado,318.7
344,4,2024-01-05,2024-01-10,cancelado,741.54
345,175,2023-06-26,2023-07-21,entregado,433.48
346,151,2023-03-11,2023-03-18,pendiente,15.62
347,102,2024-06-02,2024-06-25,enviado,1118.6
348,138,2024-09-22,2024-09-25,enviado,1615.56
349,40,2024-07-03,2024-07-22,entregado,4146.2
350,23,2024-03-20,2024-04-09,enviado,302.07
351,182,2023-05-21,2023-05-27,entregado,1732.4
352,43,2024-01-16,2024-02-10,enviado,316.84
353,110,2023-10-06,2023-10-15,entregado,1230.65
354,15,2024-05-26,2024-06-01,entregado,377.43
355,147,2024-11-21,2024-11-29,entregado,4638.88
356,121,2024-01-08,2024-01-13,entregado,879.38
357,183,2024-11-02,2024-11-13,entregado,476.97
358,70,2023-03-21,2023-03-25,entregado,388.06
359,103,2023-03-12,2023-04-09,,1517.41
360,142,2024-04-12,2024-04-19,pendiente,1413.2
361,63,2024-04-20,2024-05-06,entregado,1592.49
362,39,2023-01-07,2023-01-08,cancelado,1369.93
363,163,2023-01-10,2023-01-11,cancelado,6826.74
364,108,2024-05-18,2024-05-23,cancelado,1327.5
365,180,2024-01-17,2024-02-10,entregado,78.1
366,25,2024-06-01,2024-06-28,enviado,1625.06
367,112,2024-11-09,2024-11-17,cancelado,5575.23
368,180,2023-12-01,2023-12-10,entregado,2268.99
369,35,2024-08-21,2024-08-25,enviado,330.0
370,81,2024-02-21,2024-02-06,enviado,1575.13
371,119,2023-09-29,2023-10-02,entregado,1826.18
372,11,2023-08-09,2023-08-20,entregado,157.12
373,92,2024-02-10,2024-03-03,entregado,196.48
374,104,2024-04-08,2024-04-26,entregado,1436.06
375,27,2023-05-24,2023-05-26,enviado,387.8
376,103,2024-01-17,2024-02-07,entregado,1310.45
377,151,2023-09-23,2023-09-26,cancelado,292.67
378,51,2024-10-23,2024-10-28,entregado,401.04
379,32,2023-02-13,2023-02-15,cancelado,362.67
380,186,2024-02-09,2024-02-22,entregado,1261.27
381,72,2024-04-01,2024-04-03,entregado,747.85
382,106,2024-07-17,2026-05-29,entregado,450.04
383,52,2024-10-20,2024-11-06,entregado,954.57
384,98,2024-01-03,2024-01-29,entregado,5119.91
385,100,2023-10-04,2023-10-15,enviado,2388.61
386,136,2024-01-02,2024-01-10,entregado,574.84
387,169,2023-09-04,2023-10-01,enviado,4510.63
388,46,2023-08-31,2023-09-26,entregado,2936.79
389,37,2024-07-30,2024-08-26,cancelado,418.81
390,10,2023-04-03,2023-04-23,pendiente,588.05
391,123,2023-01-01,2023-01-21,entregado,340.05
392,184,2023-07-01,2023-07-29,cancelado,383.58
393,151,2023-05-26,2023-06-23,entregado,3183.29
394,26,2023-12-11,2023-12-16,entregado,294.64
395,167,2023-11-21,2023-12-09,enviado,4323.45
396,79,2023-10-29,2023-11-22,enviado,2167.4
397,101,2024-08-04,2024-08-24,pendiente,956.66
398,27,2024-05-23,2024-06-16,enviado,267.36
399,89,2023-11-24,2023-12-23,enviado,717.81
400,115,2023-01-12,2023-01-20,enviado,1816.66
401,99,2024-03-24,2024-03-30,entregado,1633.23
402,97,2023-04-14,2023-05-10,entregado,590.88
403,76,2023-01-21,2023-01-25,entregado,189.09
404,44,2024-01-20,2024-01-23,enviado,1363.7
405,181,2023-02-01,2023-02-22,entregado,185.91
406,41,2023-02-24,2023-03-03,enviado,609.2
407,185,2024-07-07,2024-07-17,enviado,450.41
408,101,2024-08-08,2024-08-24,entregado,3724.72
409,1,2024-03-13,2024-04-09,pendiente,1403.29
410,44,2024-10-15,2024-10-18,enviado,6956.74
411,126,2024-11-07,2024-11-28,enviado,5190.67
412,48,2024-04-01,2024-04-16,pendiente,6258.48
413,16,2023-06-04,2023-06-26,entregado,48.78
414,172,2023-12-19,2024-01-02,entregado,1622.22
415,108,2024-07-02,2024-08-01,entregado,554.19
416,21,2024-02-09,2024-03-03,cancelado,121.15
417,147,2024-06-13,2024-07-05,entregado,6421.02
418,55,2023-07-17,2023-07-31,enviado,1170.68
419,52,2024-10-04,2024-10-24,enviado,849.84
420,100,2024-07-23,2024-08-03,entregado,2235.17
421,180,2024-09-30,2024-10-26,entregado,464.91
422,146,2024-08-25,2024-08-29,entregado,193.99
423,200,2023-04-14,2023-05-12,entregado,3192.89
424,147,2024-09-15,2024-09-21,entregado,531.41
425,156,2024-11-28,2024-11-30,entregado,1489.1
426,69,2024-01-17,2024-02-13,pendiente,1515.04
427,179,2023-04-11,2023-04-19,cancelado,1040.39
428,199,2023-11-25,2023-12-09,enviado,1488.01
429,190,2024-05-11,2024-06-08,entregado,1443.24
430,17,2023-11-15,2023-11-28,entregado,398.65
431,8,2023-06-27,2023-07-24,enviado,591.89
432,9,2024-04-12,2024-04-24,pendiente,4448.42
433,163,2023-05-07,2023-05-15,entregado,4978.93
434,46,2024-04-30,2024-05-12,entregado,4596.57
435,73,2023-01-29,2023-02-04,entregado,3496.43
436,167,2024-02-24,2024-03-23,entregado,3560.57
437,58,2023-09-16,2023-09-26,entregado,2674.02
438,56,2024-04-22,2024-05-09,entregado,2545.63
439,170,2024-01-19,2024-02-08,entregado,3834.73
440,87,2023-10-11,2023-11-08,entregado,6633.69
441,39,2024-06-13,2024-07-12,entregado,79.95
442,104,2024-11-07,2024-11-12,entregado,1599.26
443,100,2023-02-06,2023-02-25,entregado,2747.98
444,176,2024-07-01,2024-07-17,entregado,4355.23
445,76,2023-04-10,2023-05-04,entregado,1876.57
446,168,2023-04-02,2023-04-10,enviado,3411.27
447,76,2024-04-19,2024-05-05,entregado,353.75
448,149,2024-09-27,2024-10-26,pendiente,202.59
449,175,2024-01-26,2024-02-09,entregado,126.54
450,36,2023-07-25,2023-08-13,entregado,643.21
451,125,2023-12-07,2023-12-13,entregado,2574.35
452,71,2023-08-03,2023-08-09,entregado,2899.29
453,112,2024-10-10,2024-10-24,entregado,5490.5
454,52,2024-01-18,2024-02-16,cancelado,701.68
455,174,2023-01-05,2023-01-13,entregado,1174.35
456,34,2023-04-16,2023-05-05,entregado,1620.2
457,77,2023-10-25,2023-11-11,entregado,1320.58
458,126,2024-01-03,2024-01-09,entregado,265.98
459,55,2023-01-23,2023-01-29,entregado,47.94
460,183,2024-10-28,2024-11-10,entregado,777.58
461,170,2023-04-21,2023-04-22,entregado,55.02
462,107,2024-03-30,2024-04-17,entregado,408.98
463,178,2024-10-07,2024-10-21,pendiente,2594.41
464,108,2023-04-18,2023-05-08,entregado,156.66
465,30,2023-04-19,2023-05-09,entregado,978.91
466,52,2024-01-02,2024-01-12,entregado,1220.74
467,128,2023-08-01,2023-08-17,entregado,164.83
468,172,2023-04-02,2023-04-29,cancelado,536.36
469,186,2023-04-14,2023-05-05,cancelado,997.37
470,68,2024-04-20,2024-05-17,pendiente,1098.93
471,93,2024-11-24,2024-12-18,entregado,10.39
472,195,2023-02-16,2023-02-21,pendiente,2038.47
473,188,2023-04-06,2023-04-17,entregado,478.49
474,103,2024-04-12,2024-04-25,enviado,1709.83
475,41,2023-04-17,2023-05-06,entregado,8498.6
476,98,2024-01-03,2024-01-31,entregado,1249.29
477,12,2023-03-06,2023-03-17,enviado,1054.9
478,197,2024-08-13,2024-08-21,entregado,3953.99
479,170,2023-09-12,2023-10-04,entregado,1904.7
480,165,2023-06-10,2023-06-26,entregado,294.46
481,62,2023-12-05,2023-12-07,,5420.72
482,21,2024-04-15,2024-05-04,entregado,656.81
483,31,2024-05-24,2024-05-25,entregado,1733.92
484,106,2023-02-06,2023-02-07,entregado,121.15
485,159,2024-10-14,2024-10-31,entregado,1914.4
486,58,2024-04-10,2024-05-05,entregado,2668.62
487,25,2024-11-05,2024-11-16,enviado,627.02
488,96,2023-04-19,2023-04-25,pendiente,527.2
489,157,2023-07-20,2023-08-19,enviado,1322.51
490,28,2024-02-29,2024-03-21,pendiente,3283.41
491,35,2024-05-25,2024-06-18,pendiente,243.9
492,111,2024-08-22,2026-06-16,entregado,451.23
493,188,2023-05-12,2023-06-03,enviado,8194.45
494,156,2023-09-12,2023-09-23,enviado,4600.14
495,106,2024-09-08,2024-10-02,entregado,6031.89
496,52,2023-08-03,2023-08-13,entregado,5696.24
497,182,2023-04-29,2023-05-17,entregado,2550.43
498,74,2024-03-08,2024-03-25,entregado,52.54
499,98,2023-05-29,2023-05-31,pendiente,618.25
500,74,2024-11-30,2024-12-27,enviado,47.94
