linea_id,pedido_id,producto_id,cantidad,precio_unitario
240,64,10,5,25.89
241,65,42,1,21.23
242,65,18,2,159.56
243,65,21,1,55.46
244,65,46,3,70.17
245,66,5,5,624.19
246,66,48,3,55.94
247,67,7,5,762.1
248,67,2,2,884.84
249,67,21,5,55.46
250,67,16,4,283.25
251,67,12,4,78.58
252,67,37,3,6.16
253,68,19,4,160.98
254,68,42,4,21.23
255,68,31,4,42.7
256,69,5,3,624.19
257,69,35,4,12.84
258,69,11,5,34.09
259,69,20,2,264.25
260,69,9,2,28.39
261,69,2,3,884.84
262,70,20,4,264.25
263,70,48,4,55.94
264,70,41,3,43.16
265,70,31,4,42.7
266,71,33,1,73.85
267,71,40,3,52.29
268,71,5,2,624.19
269,71,36,4,44.59
270,71,21,5,55.46
271,71,25,4,211.78
272,72,49,2,106.58
273,72,23,4,47.46
274,72,5,1,624.19
275,72,12,2,78.58
276,72,50,3,58.93
277,73,29,1,59.59
278,73,21,3,55.46
279,73,50,4,58.93
280,73,35,2,12.84
281,73,33,5,73.85
282,73,3,2,877.26
283,74,23,3,47.46
284,75,5,5,624.19
285,75,3,2,877.26
286,75,16,3,283.25
287,75,23,5,47.46
288,76,42,5,21.23
289,76,46,4,70.17
290,77,17,5,36.01
291,77,41,3,43.16
292,78,20,4,264.25
293,78,34,5,2.1
294,79,40,5,52.29
295,79,45,5,16.43
296,79,22,3,123.28
297,79,43,1,102.37
298,79,49,1,106.58
299,80,45,2,16.43
300,80,37,5,6.16
301,80,34,3,2.1
302,80,30,4,9.41
303,80,27,4,133.54
304,81,44,5,69.64
305,81,24,1,262.83
306,81,8,3,29.39
307,82,44,1,69.64
308,82,19,1,160.98
309,82,46,2,70.17
310,83,13,2,17.78
311,83,43,3,102.37
312,83,11,5,34.09
313,83,26,2,98.45
314,83,25,1,211.78
315,84,36,4,44.59
316,84,31,2,42.7
317,84,38,2,17.5
318,84,8,5,29.39
319,84,7,2,762.1
320,84,39,5,57.62
321,85,41,2,43.16
322,85,32,5,68.52
323,85,6,4,1243.1
324,85,2,3,884.84
325,85,9,1,28.39
326,85,44,1,69.64
327,86,8,4,29.39
328,86,49,5,106.58
329,87,23,5,47.46
330,87,19,4,160.98
331,87,17,3,36.01
332,88,39,3,57.62
333,88,3,2,877.26
334,88,50,4,58.93
335,89,4,4,544.81
336,89,39,4,57.62
337,89,29,3,59.59
338,89,37,3,6.16
339,90,24,3,262.83
340,90,27,3,133.54
341,90,50,5,58.93
342,90,47,1,85.13
343,90,6,5,1243.1
344,91,8,4,29.39
345,92,26,5,98.45
346,92,49,5,106.58
347,92,47,1,85.13
348,92,9,1,28.39
349,93,43,2,102.37
350,93,4,5,544.81
351,93,42,3,21.23
352,94,6,4,1243.1
353,94,18,3,159.56
354,94,10,1,25.89
355,94,28,3,284.09
356,94,26,1,98.45
357,94,32,5,68.52
358,95,29,5,59.59
359,95,10,1,25.89
360,95,41,4,43.16
361,96,19,4,160.98
362,97,3,1,877.26
363,97,31,2,42.7
364,97,1,1,633.18
365,97,16,4,283.25
366,97,43,4,102.37
367,97,12,3,78.58
368,98,32,2,68.52
369,98,40,2,52.29
370,98,6,3,1243.1
371,98,13,1,17.78
372,98,1,4,633.18
373,99,17,5,36.01
374,100,7,1,762.1
375,100,37,4,6.16
376,100,38,4,17.5
377,100,29,1,59.59
378,100,44,3,69.64
379,101,38,5,17.5
380,101,15,5,309.79
381,101,22,5,123.28
382,101,33,1,73.85
383,101,23,4,47.46
384,102,38,4,17.5
385,102,24,3,262.83
386,102,27,1,133.54
387,102,21,3,55.46
388,102,30,4,9.41
389,103,44,1,69.64
390,103,5,4,624.19
391,103,49,3,106.58
392,103,45,2,16.43
393,103,3,3,877.26
394,103,16,3,283.25
395,104,21,2,55.46
396,104,27,5,133.54
397,104,8,5,29.39
398,104,30,3,9.41
399,104,11,5,34.09
400,104,17,1,36.01
401,105,12,2,78.58
402,106,29,3,59.59
403,107,30,4,9.41
404,107,36,2,44.59
405,108,50,4,58.93
406,109,24,5,262.83
407,109,29,5,59.59
408,109,19,2,160.98
409,110,20,3,264.25
410,110,42,2,21.23
411,110,15,3,309.79
412,110,13,1,17.78
413,110,32,2,68.52
414,111,34,3,2.1
415,111,31,3,42.7
416,111,32,3,68.52
417,111,35,3,12.84
418,111,17,2,36.01
419,112,16,2,283.25
420,112,24,5,262.83
421,112,13,2,17.78
422,113,7,5,762.1
423,113,30,4,9.41
424,113,18,3,159.56
425,113,46,1,70.17
426,113,40,3,52.29
427,114,24,3,262.83
428,114,32,5,68.52
429,114,6,2,1243.1
430,114,35,4,12.84
431,115,5,3,624.19
432,115,11,1,34.09
433,115,39,1,57.62
434,115,4,2,544.81
435,116,49,3,106.58
436,116,16,2,283.25
437,116,33,2,73.85
438,117,4,4,544.81
439,117,11,4,34.09
440,117,7,5,762.1
441,118,15,3,309.79
442,118,27,5,133.54
443,118,20,3,264.25
444,118,21,5,55.46
445,118,39,3,57.62
446,118,16,2,283.25
447,119,10,1,25.89
448,119,2,4,884.84
449,119,48,1,55.94
450,119,36,2,44.59
451,120,10,4,25.89
452,120,38,1,17.5
453,120,46,1,70.17
454,120,12,2,78.58
455,120,4,5,544.81
456,120,48,2,55.94
457,121,48,2,55.94
458,121,34,5,2.1
459,121,40,3,52.29
460,122,25,1,211.78
461,122,2,3,884.84
462,122,38,5,17.5
463,122,31,4,42.7
464,122,8,2,29.39
465,122,1,3,633.18
466,123,11,5,34.09
467,124,16,5,283.25
468,124,39,1,57.62
469,124,36,5,44.59
470,124,7,5,762.1
471,124,27,2,133.54
472,124,13,4,17.78
473,125,19,4,160.98
474,125,6,4,1243.1
475,125,50,5,58.93
476,125,36,2,44.59
477,126,24,4,262.83
478,126,26,4,98.45
479,127,8,2,29.39
480,127,16,1,283.25
481,128,40,3,52.29
482,128,3,4,877.26
483,129,29,4,59.59
484,129,2,1,884.84
485,129,47,4,85.13
486,129,5,5,624.19
487,129,8,5,29.39
488,130,16,4,283.25
489,130,8,2,29.39
490,130,21,5,55.46
491,130,49,5,106.58
492,131,29,4,59.59
493,132,41,2,43.16
494,133,31,3,42.7
495,133,38,4,17.5
496,134,46,3,70.17
497,134,3,3,877.26
498,134,27,4,133.54
499,134,7,5,762.1
500,134,43,2,102.37
501,134,5,2,624.19
502,135,18,4,159.56
503,135,7,4,762.1
504,135,3,4,877.26
505,136,46,2,70.17
506,136,17,4,36.01
507,136,24,5,262.83
508,137,48,1,55.94
509,137,47,2,85.13
510,137,5,4,624.19
511,137,1,1,633.18
512,138,13,5,17.78
513,138,17,4,36.01
514,138,25,4,211.78
515,138,32,3,68.52
516,139,8,3,29.39
517,139,22,1,123.28
518,140,28,3,284.09
519,140,10,5,25.89
520,140,7,1,762.1
521,141,24,5,262.83
522,141,37,1,6.16
523,141,9,3,28.39
524,141,23,5,47.46
525,141,25,5,211.78
526,142,8,3,29.39
527,142,11,1,34.09
528,142,37,3,6.16
529,143,24,2,262.83
530,144,49,5,106.58
531,144,42,1,21.23
532,145,15,1,309.79
533,145,36,1,44.59
534,145,28,3,284.09
535,145,8,2,29.39
536,146,37,4,6.16
537,146,8,5,29.39
538,146,17,2,36.01
539,146,36,3,44.59
540,147,45,3,16.43
541,147,48,5,55.94
542,147,27,1,133.54
543,147,34,5,2.1
544,148,30,3,9.41
545,149,11,5,34.09
546,149,20,5,264.25
547,149,42,3,21.23
548,149,28,4,284.09
549,150,9,2,28.39
550,151,36,4,44.59
551,152,14,3,73.56
552,152,13,1,17.78
553,152,3,2,877.26
554,152,15,1,309.79
555,153,45,5,16.43
556,153,13,3,17.78
557,153,43,3,102.37
558,153,18,5,159.56
559,154,7,4,762.1
560,154,3,2,877.26
561,154,34,5,2.1
562,154,9,2,28.39
563,154,41,1,43.16
564,154,13,1,17.78
565,155,26,2,98.45
566,155,5,1,624.19
567,155,1,1,633.18
568,155,42,5,21.23
569,156,43,5,102.37
570,157,17,1,36.01
571,158,32,1,68.52
572,158,1,1,633.18
573,159,30,2,9.41
574,159,45,2,16.43
575,159,22,2,123.28
576,159,2,4,884.84
577,159,46,3,70.17
578,160,40,5,52.29
579,161,18,4,159.56
580,161,50,5,58.93
581,161,29,3,59.59
582,162,42,1,21.23
583,162,34,5,2.1
584,162,28,2,284.09
585,162,1,3,633.18
586,163,2,2,884.84
587,163,35,4,12.84
588,164,17,4,36.01
589,165,40,3,52.29
590,165,38,4,17.5
591,165,19,1,160.98
592,166,9,2,28.39
593,166,17,4,36.01
594,167,49,1,106.58
595,167,9,4,28.39
596,167,16,3,283.25
597,167,35,4,12.84
598,167,43,5,102.37
599,167,24,2,262.83
600,168,33,1,73.85
601,169,2,4,884.84
602,169,18,3,159.56
603,169,23,1,47.46
604,169,28,2,284.09
605,170,1,1,633.18
606,170,34,1,2.1
607,171,36,2,44.59
608,171,16,5,283.25
609,171,7,2,762.1
610,171,18,5,159.56
611,172,20,3,264.25
612,172,41,5,43.16
613,172,1,5,633.18
614,172,36,1,44.59
615,173,7,3,762.1
616,174,19,2,160.98
617,175,49,2,106.58
618,175,31,5,42.7
619,175,46,2,70.17
620,175,32,1,68.52
621,175,37,1,6.16
622,176,38,3,17.5
623,176,19,3,160.98
624,176,18,1,159.56
625,177,11,2,34.09
626,177,17,4,36.01
627,177,44,4,69.64
628,177,48,3,55.94
629,177,33,5,73.85
630,178,46,3,70.17
631,178,1,3,633.18
632,178,8,5,29.39
633,178,50,4,58.93
634,178,32,2,68.52
635,179,31,1,42.7
636,179,34,4,2.1
637,179,44,2,69.64
638,179,9,5,28.39
639,180,41,1,43.16
640,180,5,2,624.19
641,180,32,2,68.52
642,180,1,1,633.18
643,180,18,2,159.56
644,181,41,3,43.16
645,181,44,5,69.64
646,181,46,2,70.17
647,181,24,3,262.83
648,181,31,3,42.7
649,181,36,1,44.59
650,182,15,2,309.79
651,182,29,5,59.59
652,183,11,5,34.09
653,183,5,2,624.19
654,183,17,1,36.01
655,183,35,4,12.84
656,183,7,4,762.1
657,184,39,4,57.62
658,184,33,4,73.85
659,184,21,5,55.46
660,184,3,1,877.26
661,184,38,2,17.5
662,185,16,1,283.25
663,186,33,2,73.85
664,186,25,4,211.78
665,187,24,5,262.83
666,187,10,2,25.89
667,187,33,5,73.85
668,187,5,1,624.19
669,187,50,4,58.93
670,187,18,4,159.56
671,188,20,3,264.25
672,189,15,1,309.79
673,190,2,4,884.84
674,190,29,4,59.59
675,190,45,4,16.43
676,190,39,4,57.62
677,191,24,4,262.83
678,191,38,2,17.5
679,191,32,1,68.52
680,191,18,4,159.56
681,191,26,2,98.45
682,192,42,3,21.23
683,192,20,2,264.25
684,193,25,1,211.78
685,193,19,4,160.98
686,193,49,5,106.58
687,193,20,2,264.25
688,193,30,3,9.41
689,194,8,3,29.39
690,194,33,1,73.85
691,194,40,2,52.29
692,194,15,5,309.79
693,194,25,2,211.78
694,194,42,1,21.23
695,195,30,1,9.41
696,195,45,5,16.43
697,195,2,5,884.84
698,195,23,2,47.46
699,196,37,4,6.16
700,196,46,1,70.17
701,197,1,4,633.18
702,198,2,4,884.84
703,198,39,4,57.62
704,198,41,4,43.16
705,198,47,5,85.13
706,199,30,2,9.41
707,199,34,5,2.1
708,199,2,2,884.84
709,199,38,5,17.5
710,199,32,3,68.52
711,200,34,4,2.1
712,200,9,3,28.39
713,200,32,5,68.52
714,201,26,4,98.45
715,201,15,4,309.79
716,201,8,4,29.39
717,201,19,3,160.98
718,202,14,4,73.56
719,203,21,1,55.46
720,203,46,1,70.17
721,203,4,5,544.81
722,203,17,1,36.01
723,203,22,1,123.28
724,204,31,5,42.7
725,204,4,4,544.81
726,204,24,1,262.83
727,205,23,1,47.46
728,205,13,2,17.78
729,205,1,3,633.18
730,205,28,2,284.09
731,205,26,2,98.45
732,206,31,2,42.7
733,206,3,5,877.26
734,206,43,4,102.37
735,206,5,2,624.19
736,207,28,2,284.09
737,207,35,4,12.84
738,207,5,5,624.19
739,207,50,5,58.93
740,207,8,5,29.39
741,208,3,2,877.26
742,208,14,3,73.56
743,209,38,3,17.5
744,209,26,5,98.45
745,210,17,1,36.01
746,210,3,2,877.26
747,210,23,5,47.46
748,210,27,1,133.54
749,211,38,3,17.5
750,212,29,3,59.59
751,213,22,4,123.28
752,213,35,1,12.84
753,213,46,3,70.17
754,213,1,3,633.18
755,213,49,3,106.58
756,214,17,3,36.01
757,215,4,3,544.81
758,215,9,3,28.39
759,215,48,1,55.94
760,215,3,3,877.26
761,215,10,5,25.89
762,215,8,3,29.39
763,216,47,2,85.13
764,216,34,1,2.1
765,216,30,4,9.41
766,216,9,3,28.39
767,216,28,1,284.09
768,217,49,5,106.58
769,217,20,1,264.25
770,217,6,2,1243.1
771,217,18,2,159.56
772,217,41,3,43.16
773,217,39,4,57.62
774,218,47,5,85.13
775,218,23,1,47.46
776,218,19,2,160.98
777,218,11,4,34.09
778,218,22,2,123.28
779,219,26,4,98.45
780,219,3,5,877.26
781,219,31,3,42.7
782,219,39,4,57.62
783,220,43,2,102.37
784,221,42,2,21.23
785,221,38,5,17.5
786,221,6,5,1243.1
787,221,41,4,43.16
788,222,41,3,43.16
789,222,47,4,85.13
790,223,32,3,68.52
791,223,19,5,160.98
792,224,1,3,633.18
793,224,20,5,264.25
794,224,50,3,58.93
795,224,32,1,68.52
796,224,36,5,44.59
797,225,5,4,624.19
798,226,5,2,624.19
799,226,7,5,762.1
800,226,18,2,159.56
801,227,45,5,16.43
802,227,4,5,544.81
803,228,9,1,28.39
804,228,44,2,69.64
805,229,43,1,102.37
806,230,39,1,57.62
807,230,15,5,309.79
808,230,26,2,98.45
809,230,8,4,29.39
810,230,11,4,34.09
811,230,42,3,21.23
812,231,15,1,309.79
813,232,34,1,2.1
814,232,9,4,28.39
815,233,1,2,633.18
816,233,29,5,59.59
817,233,28,4,284.09
818,233,31,3,42.7
819,234,13,4,17.78
820,234,15,5,309.79
821,234,18,5,159.56
822,234,2,1,884.84
823,234,3,3,877.26
824,234,46,1,70.17
825,235,21,3,55.46
826,235,10,3,25.89
827,236,12,1,78.58
828,236,38,4,17.5
829,236,5,3,624.19
830,236,7,5,762.1
831,236,6,4,1243.1
832,236,50,5,58.93
833,237,50,3,58.93
834,237,41,4,43.16
835,237,47,5,85.13
836,237,15,1,309.79
837,238,49,2,106.58
838,238,16,3,283.25
839,239,44,5,69.64
840,240,38,3,17.5
841,241,43,4,102.37
842,241,4,3,544.81
843,241,19,2,160.98
844,242,1,5,633.18
845,242,17,4,36.01
846,242,33,1,73.85
847,243,35,3,12.84
848,244,7,5,762.1
849,244,17,1,36.01
850,244,21,4,55.46
851,244,16,5,283.25
852,244,35,2,12.84
853,245,49,4,106.58
854,245,2,2,884.84
855,245,17,4,36.01
856,246,29,3,59.59
857,246,48,5,55.94
858,246,3,3,877.26
859,246,12,1,78.58
860,246,6,3,1243.1
861,247,35,3,12.84
862,248,1,1,633.18
863,249,47,2,85.13
864,249,50,3,58.93
865,249,4,4,544.81
866,249,38,4,17.5
867,249,6,3,1243.1
868,250,10,1,25.89
869,250,16,2,283.25
870,250,50,4,58.93
871,250,2,1,884.84
872,250,35,4,12.84
873,250,23,2,47.46
874,251,15,5,309.79
875,251,14,2,73.56
876,251,5,3,624.19
877,251,7,1,762.1
878,251,16,3,283.25
879,251,13,4,17.78
880,252,48,3,55.94
881,252,17,2,36.01
882,253,41,3,43.16
883,253,38,5,17.5
884,254,20,3,264.25
885,254,17,3,36.01
886,254,2,2,884.84
887,254,23,2,47.46
888,254,14,3,73.56
889,255,28,5,284.09
890,255,49,4,106.58
891,256,19,1,160.98
892,256,32,5,68.52
893,256,27,4,133.54
894,256,46,5,70.17
895,256,18,1,159.56
896,256,6,3,1243.1
897,257,41,3,43.16
898,257,14,3,73.56
899,257,37,2,6.16
900,257,15,2,309.79
901,258,29,2,59.59
902,258,25,3,211.78
903,259,31,5,42.7
904,259,17,4,36.01
905,259,10,1,25.89
906,259,9,3,28.39
907,259,40,5,52.29
908,259,22,2,123.28
909,260,2,3,884.84
910,261,23,4,47.46
911,261,22,5,123.28
912,261,50,1,58.93
913,261,35,4,12.84
914,262,26,3,98.45
915,262,15,3,309.79
916,262,4,3,544.81
917,262,35,3,12.84
918,262,12,2,78.58
919,263,41,2,43.16
920,264,4,5,544.81
921,264,25,3,211.78
922,264,24,2,262.83
923,264,30,1,9.41
924,264,7,3,762.1
925,265,19,3,160.98
926,265,49,3,106.58
927,265,31,4,42.7
928,265,18,3,159.56
929,266,28,3,284.09
930,266,20,5,264.25
931,266,34,3,2.1
932,266,19,1,160.98
933,267,41,3,43.16
934,267,50,4,58.93
935,267,9,5,28.39
936,267,25,4,211.78
937,268,31,2,42.7
938,269,24,5,262.83
939,269,9,3,28.39
940,269,15,4,309.79
941,269,22,2,123.28
942,270,26,5,98.45
943,270,3,3,877.26
944,270,13,1,17.78
945,271,14,1,73.56
946,272,29,4,59.59
947,272,3,4,877.26
948,272,10,1,25.89
949,272,41,3,43.16
950,272,7,1,762.1
951,272,22,5,123.28
952,273,37,5,6.16
953,273,36,2,44.59
954,273,28,2,284.09
955,273,15,3,309.79
956,273,21,2,55.46
957,273,46,2,70.17
958,274,21,2,55.46
959,274,31,5,42.7
960,274,14,1,73.56
961,275,16,1,283.25
962,276,10,3,25.89
963,276,26,2,98.45
964,276,23,3,47.46
965,276,30,2,9.41
966,277,12,1,78.58
967,277,24,1,262.83
968,278,43,1,102.37
969,278,13,1,17.78
970,278,39,2,57.62
971,278,40,2,52.29
972,278,21,4,55.46
973,279,48,1,55.94
974,279,13,1,17.78
975,280,11,4,34.09
976,280,13,4,17.78
977,281,15,5,309.79
978,282,2,4,884.84
979,283,49,2,106.58
980,283,43,5,102.37
981,283,31,5,42.7
982,284,2,4,884.84
983,284,25,1,211.78
984,284,49,4,106.58
985,284,17,1,36.01
986,284,19,4,160.98
987,284,43,4,102.37
988,285,23,4,47.46
989,285,35,2,12.84
990,286,7,5,762.1
991,286,21,2,55.46
992,286,41,4,43.16
993,286,18,5,159.56
994,287,18,4,159.56
995,287,32,5,68.52
996,288,33,4,73.85
997,288,24,4,262.83
998,288,15,3,309.79
999,288,2,1,884.84
1000,289,27,2,133.54
1001,289,33,4,73.85
1002,289,8,3,29.39
1003,289,24,3,262.83
1004,290,23,4,47.46
1005,290,44,4,69.64
1006,291,26,2,98.45
1007,291,36,2,44.59
1008,292,43,5,102.37
1009,293,1,4,633.18
1010,294,37,1,6.16
1011,295,27,2,133.54
1012,295,7,4,762.1
1013,295,30,4,9.41
1014,296,4,2,544.81
1015,296,28,1,284.09
1016,296,23,3,47.46
1017,296,35,3,12.84
1018,296,33,1,73.85
1019,297,41,4,43.16
1020,298,7,1,762.1
1021,298,6,2,1243.1
1022,299,30,5,9.41
1023,299,32,3,68.52
1024,299,37,3,6.16
1025,299,9,1,28.39
1026,299,24,4,262.83
1027,299,17,4,36.01
1028,300,49,5,106.58
1029,300,24,3,262.83
1030,300,33,4,73.85
1031,300,37,2,6.16
1032,300,25,1,211.78
1033,301,12,2,78.58
1034,301,30,1,9.41
1035,301,42,4,21.23
1036,301,2,5,884.84
1037,301,3,2,877.26
1038,302,8,3,29.39
1039,302,50,3,58.93
1040,302,3,4,877.26
1041,302,4,3,544.81
1042,302,24,3,262.83
1043,303,10,3,25.89
1044,303,20,3,264.25
1045,303,5,2,624.19
1046,303,8,3,29.39
1047,303,6,3,1243.1
1048,303,44,1,69.64
1049,304,31,3,42.7
1050,304,28,1,284.09
1051,304,30,5,9.41
1052,304,48,1,55.94
1053,305,25,2,211.78
1054,305,28,3,284.09
1055,305,3,5,877.26
1056,306,45,4,16.43
1057,306,5,4,624.19
1058,306,6,2,1243.1
1059,306,8,2,29.39
1060,306,21,3,55.46
1061,306,4,2,544.81
1062,307,19,3,160.98
1063,307,47,2,85.13
1064,308,2,5,884.84
1065,308,37,1,6.16
1066,309,31,1,42.7
1067,309,2,3,884.84
1068,309,30,3,9.41
1069,309,27,5,133.54
1070,309,5,3,624.19
1071,310,24,3,262.83
1072,310,40,3,52.29
1073,310,34,1,2.1
1074,310,13,4,17.78
1075,310,39,3,57.62
1076,310,14,1,73.56
1077,311,35,1,12.84
1078,311,50,1,58.93
1079,312,49,2,106.58
1080,312,43,5,102.37
1081,313,3,3,877.26
1082,314,34,4,2.1
1083,314,13,3,17.78
1084,314,18,5,159.56
1085,315,14,4,73.56
1086,315,24,4,262.83
1087,316,36,3,44.59
1088,316,17,2,36.01
1089,316,14,3,73.56
1090,316,3,3,877.26
1091,316,8,3,29.39
1092,316,26,4,98.45
1093,317,12,4,78.58
1094,317,9,4,28.39
1095,318,30,2,9.41
1096,318,27,1,133.54
1097,318,33,2,73.85
1098,319,27,3,133.54
1099,319,20,1,264.25
1100,319,8,3,29.39
1101,319,33,3,73.85
1102,319,9,1,28.39
1103,319,17,1,36.01
1104,320,10,2,25.89
1105,320,38,1,17.5
1106,320,1,5,633.18
1107,320,30,3,9.41
1108,321,45,1,16.43
1109,321,29,5,59.59
1110,321,17,1,36.01
1111,321,34,2,2.1
1112,322,39,5,57.62
1113,322,30,1,9.41
1114,322,13,2,17.78
1115,323,17,4,36.01
1116,324,1,3,633.18
1117,324,27,1,133.54
1118,324,3,2,877.26
1119,324,42,1,21.23
1120,325,40,1,52.29
1121,325,16,4,283.25
1122,325,34,4,2.1
1123,325,35,3,12.84
1124,326,18,5,159.56
1125,326,34,4,2.1
1126,326,10,2,25.89
1127,326,1,4,633.18
1128,326,7,1,762.1
1129,327,42,5,21.23
1130,327,32,1,68.52
1131,327,22,3,123.28
1132,327,16,1,283.25
1133,327,35,4,12.84
1134,328,8,1,29.39
1135,328,43,2,102.37
1136,328,34,2,2.1
1137,328,20,4,264.25
1138,328,35,5,12.84
1139,328,48,2,55.94
1140,329,16,1,283.25
1141,330,47,4,85.13
1142,330,46,2,70.17
1143,330,19,3,160.98
1144,330,22,1,123.28
1145,331,35,5,12.84
1146,331,25,3,211.78
1147,331,14,2,73.56
1148,331,8,1,29.39
